Category,Project,Organisation,Country
C4. CAPACITY BUILDING,Government Community Telecentre (GCT) Programme,Department of Communications,FIJI
C4. CAPACITY BUILDING,Empowering Communities through Indonesia ICT Volunteer,Indonesia ICT Volunteer,INDONESIA
C4. CAPACITY BUILDING,Relawan TIK Go To School/IT Volunteer Go to School,Relawan TIK Kota Bogor,INDONESIA
C4. CAPACITY BUILDING,FAO E-learning Center,Cristina Petracchi,ITALY
C4. CAPACITY BUILDING,DLSI Digital Literacy for Social Inclusion,Informatici Senza Frontiere Onlus,ITALY
C4. CAPACITY BUILDING,African Leadership Development in ICT and the Knowledge Society,GESCI (Global e-Schools and Communities Initiatives,KENYA
C4. CAPACITY BUILDING,Internet Governance Capacity Building Programme,DiploFoundation,MALTA
C4. CAPACITY BUILDING,Back to school because you learn better familyBack to school because family learns best,Biblioteca Victoria Dorantes,MEXICO
C4. CAPACITY BUILDING,Youth for a Digital Mexico,Digital Government Unit of the Ministry of Public Administration,MEXICO
C4. CAPACITY BUILDING,Puntos MÃ©xico Conectado: Digital innovation and education community centers,Ministry of Communications and Transportation,MEXICO
C4. CAPACITY BUILDING,GO_PRO! - Regional Programming Centres,"Association for Non Formal Education ""Meritum""",POLAND
C4. CAPACITY BUILDING,10 years fostering the digital and media literacy,Programa Escolhas (Choices Programme),PORTUGAL
C4. CAPACITY BUILDING,"""Literacia Inform@tica Para Todos"" (""Digital Literacy For Everyone"")",Biblioteca Municipal de Penalva do Castelo (CÃ¢mara Municipal de Penalva do Castelo),PORTUGAL
C4. CAPACITY BUILDING,Digital Inclusion Strategy for Qatar,Ministry of Information and Communications Technology; State of Qatar (ictQATAR),QATAR
C4. CAPACITY BUILDING,Mada â€“ Qatar Assistive Technology Center,Mada,QATAR
C4. CAPACITY BUILDING,Haseen,Ministry of Information and Communication Technology ( ictQATAR) ,QATAR
C4. CAPACITY BUILDING,Teacher Self-Learning Academy,Pan International - Rwanda,RWANDA
C4. CAPACITY BUILDING,IT Service Management,ARABSAT ,SAUDI ARABIA
C4. CAPACITY BUILDING,OSCARNet,Outreach Social Care Project,SOUTH AFRICA
C4. CAPACITY BUILDING,Mae Hong Son IT Valley,National Electronic and Computer Technology Center,THAILAND
C4. CAPACITY BUILDING,Caribbean ICT Roadshow,Caribbean Telecommunications Union,TRINIDAD AND TOBAGO
C4. CAPACITY BUILDING,Lifeâ€™s Simpler with Internet,TTNET,TURKEY
C4. CAPACITY BUILDING,CENTER OF DIGITAL INNOVATION,Telecommunication Regulatory Authority,UNITED ARAB EMIRATES
C4. CAPACITY BUILDING,Empowering with Digital Literacy - IntelÂ® Learn Easy Steps Program,Intel Corporation,UNITED STATES OF AMERICA
C5. BUILDING CONFIDENCE AND SECURITY IN THE USE OF ICTS,Commonwealth Approach for Developing National Cybersecurity Strategies,Commonwealth Telecommunications Organisation,INTERNATIONAL
C5. BUILDING CONFIDENCE AND SECURITY IN THE USE OF ICTS,Amigos Conectados,Amigos Conectados Project by The Walt Disney Company Latin America and Chicos.net,ARGENTINA
C5. BUILDING CONFIDENCE AND SECURITY IN THE USE OF ICTS,En TIC ConfÃ_o,Ministry of Information and Communication Technologies,COLOMBIA
C5. BUILDING CONFIDENCE AND SECURITY IN THE USE OF ICTS,Security of Energy Systems,Ricerca sul Sistema Energetico â€“ RSE SpA,ITALY
C5. BUILDING CONFIDENCE AND SECURITY IN THE USE OF ICTS,"International cyber security conference ""DSS ITSEC""",Data Security Solutions,LATVIA
C5. BUILDING CONFIDENCE AND SECURITY IN THE USE OF ICTS,Equipo de Respuesta a Incidentes de Seguridad en Chihuahua,Universidad AutÃ_noma de Chihuahua,MEXICO
C5. BUILDING CONFIDENCE AND SECURITY IN THE USE OF ICTS,Electronic Signature (e.signature),Digital Government Unit of the Ministry of Public Administration,MEXICO
C5. BUILDING CONFIDENCE AND SECURITY IN THE USE OF ICTS,Practical Guide of the Risks of Cybercrime against Children,Islamic Educational; Scientific and Cultural Organization (ISESCO),MOROCCO
C5. BUILDING CONFIDENCE AND SECURITY IN THE USE OF ICTS,Lifelong Learning EdTech Series: CyberSafety and Cyber Security Training,Luqcom Informatics,NIGERIA
C5. BUILDING CONFIDENCE AND SECURITY IN THE USE OF ICTS,Creating A Safer Digital Environment Through Education (Internet Safety for Kids and Families),Trend Micro Inc.,PHILIPPINES
C5. BUILDING CONFIDENCE AND SECURITY IN THE USE OF ICTS,Certificates of the President of the Office of Electronic Communication (UKE),Office of Electronic Communications (UKE),POLAND
C5. BUILDING CONFIDENCE AND SECURITY IN THE USE OF ICTS,Repository of Resources for Parents Digital Family,TelefÃ_nica S.A.,SPAIN
C5. BUILDING CONFIDENCE AND SECURITY IN THE USE OF ICTS,Investigating DNS Abuse/Misuse for Public Safety Community,ICANN ,SWITZERLAND
C5. BUILDING CONFIDENCE AND SECURITY IN THE USE OF ICTS,Combating Spam for Developing Countries,Internet Society,SWITZERLAND
C5. BUILDING CONFIDENCE AND SECURITY IN THE USE OF ICTS,Smart investigation systems,Ministry of labour,UNITED ARAB EMIRATES
C5. BUILDING CONFIDENCE AND SECURITY IN THE USE OF ICTS,Enhancing Information Security culture at the Ministry of Interior in the United Arab Emirates.,Ministry of Interior,UNITED ARAB EMIRATES
C5. BUILDING CONFIDENCE AND SECURITY IN THE USE OF ICTS,"First African Cyberdrill, for Africa!",Zambia Information and Communications Technology Authority (ZICTA),ZAMBIA
C6. ENABLING ENVIRONMENT,The Commonwealth Cybergovernance Model,Commonwealth Telecommunications Organisation,INTERNATIONAL
C6. ENABLING ENVIRONMENT,Droits des Consommateurs dans les tÃ©lÃ©communications en Afrique,ReCATIC,BENIN
C6. ENABLING ENVIRONMENT,Apps.co,Ministry of Information and Communication Technologies,COLOMBIA
C6. ENABLING ENVIRONMENT,Electronic auction for property sale,The Committee of State Property and Privatization of the Ministry of Finance of the Republic of Kazakhstan,KAZAKHSTAN
C6. ENABLING ENVIRONMENT,Tasdeed,Central Agency for Information Technology,KUWAIT
C6. ENABLING ENVIRONMENT,ICT Policy for the Federal Public Administration,The Office of the Presidency,MEXICO
C6. ENABLING ENVIRONMENT,Memorandum on cooperation for improving the quality of services in the telecommunications market provided to users,Office of Electronic Communications,POLAND
C6. ENABLING ENVIRONMENT,â€œDevelopment of broadband access in the Russian Federation. Building fiber-optic network for localities with the population of at least 250 peopleâ€ù,Ministry of Telecom & Mass Communicaions of the Russian Federation,RUSSIAN FEDERATION
C6. ENABLING ENVIRONMENT,Remote Litigation Service,Ministry of Justice,SAUDI ARABIA
C6. ENABLING ENVIRONMENT,Regulatory Framework for TV White Space,Infocomm Development Authority of Singapore,SINGAPORE
C7. ICT APPLICATIONS: E-GOVERNMENT,Projet e-Conseil des Ministres,Ministry of Digital Economy ,BURKINA FASO
C7. ICT APPLICATIONS: E-GOVERNMENT,Circuit informatisÃ© de la depense,Ministry of Economy and Finance,BURKINA FASO
C7. ICT APPLICATIONS: E-GOVERNMENT,Circuit IntÃ©grÃ© des Financements ExtÃ©rieurs,Ministry of Economy and Finance,BURKINA FASO
C7. ICT APPLICATIONS: E-GOVERNMENT,Ciudadano Confiable: A Web Platform for Democratic Development.,PEP: Promoter of Personal Excellence,COLOMBIA
C7. ICT APPLICATIONS: E-GOVERNMENT,Urna de Cristal,Ministry of Information and Communication Technologies,COLOMBIA
C7. ICT APPLICATIONS: E-GOVERNMENT,Electronic government procurement,E-Commerce Center,KAZAKHSTAN
C7. ICT APPLICATIONS: E-GOVERNMENT,Integrated Information System for Citizen Service Centers,Ministry of Investments and Development ,KAZAKHSTAN
C7. ICT APPLICATIONS: E-GOVERNMENT,Civil Registry Office Information System,Ministry of Justice of the Republic of Kazakhstan ,KAZAKHSTAN
C7. ICT APPLICATIONS: E-GOVERNMENT,Single Notary Information System,JSC National Information Technologies,KAZAKHSTAN
C7. ICT APPLICATIONS: E-GOVERNMENT,The Public Institution For Social Security Web Portal,Central Agency for Information Technology,KUWAIT
C7. ICT APPLICATIONS: E-GOVERNMENT,Kuwait Government Online Portal,Central Agency for Information Technology,KUWAIT
C7. ICT APPLICATIONS: E-GOVERNMENT,The single state and local government portal,The State Regional Development Agency,LATVIA
C7. ICT APPLICATIONS: E-GOVERNMENT,Development of a unified information space for the Ministry of Agriculture and its subordinate affiliates,Ministry of Agriculture of Latvia,LATVIA
C7. ICT APPLICATIONS: E-GOVERNMENT,National Preschool Information System,Ministry of Education,MALAYSIA
C7. ICT APPLICATIONS: E-GOVERNMENT,Digitization Strategy of Government Services,Digital Government Unit of the Ministry of Public Administration (SFP; by its initials in Spanish),MEXICO
C7. ICT APPLICATIONS: E-GOVERNMENT,Public Service Delivery Electronic Machine,Information Technolog; Post and Telecommunications Authority,MONGOLIA
C7. ICT APPLICATIONS: E-GOVERNMENT,MASSAR,Ministry of Education and Professional Training,MOROCCO
C7. ICT APPLICATIONS: E-GOVERNMENT,e-Complaint Window,Public Authority for Consumer Protection,OMAN
C7. ICT APPLICATIONS: E-GOVERNMENT,Oman Educational Portal,Ministry of Education ,OMAN
C7. ICT APPLICATIONS: E-GOVERNMENT,e-Office (Basic Common Applications) Replication at all Divisions of the Federal Government,Ministry of Information Technology; Government of Pakistan,PAKISTAN
C7. ICT APPLICATIONS: E-GOVERNMENT,Integrated Education Management and Recruitment System,ZakÅ‚ad UsÅ‚ug Informatycznych OTAGO Sp. z o.o.,POLAND
C7. ICT APPLICATIONS: E-GOVERNMENT,Development of Federal Government Information System for Pre-trial Appeal,Ministry of Telecom & Mass Communicaions of the Russian Federation,RUSSIAN FEDERATION
C7. ICT APPLICATIONS: E-GOVERNMENT,The system of Committees and Councils,Majmaah University,SAUDI ARABIA
C7. ICT APPLICATIONS: E-GOVERNMENT,Saudi Tourism Portal,Saudi Commission of Tourism & Antiques,SAUDI ARABIA
C7. ICT APPLICATIONS: E-GOVERNMENT,Abshir,National Information Center (Ministry Of Interior) ,SAUDI ARABIA
C7. ICT APPLICATIONS: E-GOVERNMENT,Safeer Al-Jawwal,Ministry of Education,SAUDI ARABIA
C7. ICT APPLICATIONS: E-GOVERNMENT,"FINANCIAL AND ADMINISTRATIVE RESOURCES INFORMATION SYSTEM- ""FARIS""",MINISTRY OF EDUCATION - MOE,SAUDI ARABIA
C7. ICT APPLICATIONS: E-GOVERNMENT,Online Toxicology Analysis Requests & Results System,Ministry Of Health,SAUDI ARABIA
C7. ICT APPLICATIONS: E-GOVERNMENT,Electronic Visa,Ministry of Foreign Affairs,SAUDI ARABIA
C7. ICT APPLICATIONS: E-GOVERNMENT,Ministry of Finance E-government Services,Ministry of Finance,SAUDI ARABIA
C7. ICT APPLICATIONS: E-GOVERNMENT,States Information System,National Information Center,SUDAN
C7. ICT APPLICATIONS: E-GOVERNMENT,Full e-Government Project for Rural Locality from scratch Project,East Nile Locality; Khartoum state ,SUDAN
C7. ICT APPLICATIONS: E-GOVERNMENT,Electronic Correspondence Project,MINISTRY OF DEVELOPMENT,TURKEY
C7. ICT APPLICATIONS: E-GOVERNMENT,MOI E-Transformation Project,Ministry of Interior,UNITED ARAB EMIRATES
C7. ICT APPLICATIONS: E-GOVERNMENT,Smart Statistics Suite,Dubai Statistics Center,UNITED ARAB EMIRATES
C7. ICT APPLICATIONS: E-GOVERNMENT,E Auction,Emirates Auction,UNITED ARAB EMIRATES
C7. ICT APPLICATIONS: E-GOVERNMENT,Maqta Gateway,Abu Dhabi Ports,UNITED ARAB EMIRATES
C7. ICT APPLICATIONS: E-GOVERNMENT,GAYSW SMART SERVICES,General Authority of Youth and Sports Welfare,UNITED ARAB EMIRATES
C7. ICT APPLICATIONS: E-GOVERNMENT,Enterprise GIS Solution,National Bureau of Statistics,UNITED ARAB EMIRATES
C7. ICT APPLICATIONS: E-GOVERNMENT,Jobs Abu Dhabi (JAD) e-Fair (http://www.efair.ae) - a Virtual Job Fair for Abu Dhabi,Abu Dhabi Systems and Information Centre,UNITED ARAB EMIRATES
C7. ICT APPLICATIONS: E-GOVERNMENT,Smart Seize,Dubai Courts,UNITED ARAB EMIRATES
C7. ICT APPLICATIONS: E-GOVERNMENT,Ventanilla Ã_nica de Comercio Exterior,Ventanilla Ã_nica de Comercio Exterior,URUGUAY
C7. ICT APPLICATIONS: E-GOVERNMENT,"Designing models for the prioritization and simplification of procedures, change management, communication and monitoring - Uruguay",Agency for e-Government and Information Society (AGESIC),URUGUAY
C7. ICT APPLICATIONS: E-BUSINESS,MiPyme Vive Digital,Ministry of Information and Communication Technologies,COLOMBIA
C7. ICT APPLICATIONS: E-BUSINESS,Hubco: An e-Commerce Service with ICT Development Impacts on the Businesses of I. R. Iran,Data Processing Company (Parvaresh Dadeha),IRAN (ISLAMIC REPUBLIC OF)
C7. ICT APPLICATIONS: E-BUSINESS,Taw9eel,Central Agency for Information Technology,KUWAIT
C7. ICT APPLICATIONS: E-BUSINESS,ICT Industry Development Strategy,tal Government Unit of the Ministry of Public Administration (SFP; by its initials in Spanish),MEXICO
C7. ICT APPLICATIONS: E-BUSINESS,ISHYIGA SOFTWARE LINES,ALGORITHM INC.,RWANDA
C7. ICT APPLICATIONS: E-BUSINESS,Thaitrade.com: B2B E-Marketplace for Thai SMEs,The Department of International Trade Promotion (DITP),THAILAND
C7. ICT APPLICATIONS: E-BUSINESS,Information System on Consumer Prices (SIPC) - URUGUAY,Ministry of Economy and Finance,URUGUAY
C7. ICT APPLICATIONS: E-LEARNING,IMARK: Maximizing information and knowledge for development,Inter American Institute for Cooperation in Agriculture,INTERNATIONAL
C7. ICT APPLICATIONS: E-LEARNING,CtrlF,Abderrahim Bourouis ,ALGERIA
C7. ICT APPLICATIONS: E-LEARNING,Development of Efficient Electronically-Based Distance Learning System for the training of holders of Masterâ€™s Degree in Public Health,Medical University - Plovdiv,BULGARIA
C7. ICT APPLICATIONS: E-LEARNING,Youth-led Entreprise and Development,Foreign Affairs; Trade and Development Canada,CANADA
C7. ICT APPLICATIONS: E-LEARNING,VEduc,International Institute of Tropical Agriculture,DEMOCRATIC REPUBLIC OF THE CONGO
C7. ICT APPLICATIONS: E-LEARNING,Supporting e-Learning for Hearing and Visually Impaired Students In Egypt,Egypt Information and Communications Technology Trust Fund (ICT-TF),EGYPT
